text,speaker,episode,season,preface,scene,scene_id,action,action_id,character,count
"What the…
Who’s that? (Thoughts) A sword?",Tanjirou,1,1,Thoughts," The next morning.
Tanjirou is leaving
for the mountain.",1,,,Madam,17
Why are you protecting it?,Tomioka,1,1,," The next morning.
Tanjirou is leaving
for the mountain.",1,,,Kiriya,16
"She’s my sister! She’s
my younger sister!",Tanjirou,1,1,," The next morning.
Tanjirou is leaving
for the mountain.",1,,,Rokuro,16
Uauhhh!,Nezuko,1,1,," The next morning.
Tanjirou is leaving
for the mountain.",1,,,O.Sister,15
"You call that thing
your sister?",Tomioka,1,1,," The next morning.
Tanjirou is leaving
for the mountain.",1,,,Kanae,15
Don’t move.,Tomioka,1,1,," The next morning.
Tanjirou is leaving
for the mountain.",1,,,Kanata,14
Ah...,Tanjirou,1,1,," The next morning.
Tanjirou is leaving
for the mountain.",1,,,Ruka,14
"My job is to slay demons.
Needless to say, I’m going to decapitate your sister.",Tomioka,1,1,," The next morning.
Tanjirou is leaving
for the mountain.",1,,,Nakime,14
"Hold on! Nezuko hasn’t killed anyone!
Back at my house, there was another scent that I’d never smelled
before! That’s probably the one who killed my family!
It wasn’t Nezuko!
I don’t know why she turned into something
like that, but… but still…!",Tanjirou,1,1,," The next morning.
Tanjirou is leaving
for the mountain.",1,,,Doctor,13
"It’s quite simple.
Because her wounds were exposed to demon blood,
she turned into a demon. That’s how man-eating demons
multiply.",Tomioka,1,1,," The next morning.
Tanjirou is leaving
for the mountain.",1,,,Obi,13
Nezuko would never eat humans!,Tanjirou,1,1,," The next morning.
Tanjirou is leaving
for the mountain.",1,,,Omitsu,13
"You gotta be kidding.
Just now, you were about to be devoured.",Tomioka,1,1,," The next morning.
Tanjirou is leaving
for the mountain.",1,,,Boy 1,12
"You’re wrong! I’m sure she knows who I am!
I won’t let her hurt anyone!
I’m going to turn Nezuko
back into a human!
I swear I’ll heal her!",Tanjirou,1,1,," The next morning.
Tanjirou is leaving
for the mountain.",1,,,Hinaki,12
"She can’t be healed.
Once you become a demon, you can never go back to being
human.",Tomioka,1,1,," The next morning.
Tanjirou is leaving
for the mountain.",1,,,Saburou,11
"I’ll find a way, no matter what! So, please… don’t
kill her!
I’ll hunt down the one who slaughtered my family!",Tanjirou,1,1,," The next morning.
Tanjirou is leaving
for the mountain.",1,,,Slayer 1,11
"I’ll make everything alright!
Please! Please!! Don’t do it!
Don’t take anyone else from me.",Tanjirou,1,1,Thoughts," The next morning.
Tanjirou is leaving
for the mountain.",1,,,Wives,10
"I’m begging you not to…
Please… don’t kill my younger sister! Please don’t do it.
I’m begging you…",Tanjirou,1,1,," The next morning.
Tanjirou is leaving
for the mountain.",1,,,Kizuki,9
"Grr…
Don’t ever give others
a chance to murder you!",Tomioka,1,1,," The next morning.
Tanjirou is leaving
for the mountain.",1,,,Girl 1,9
Wha…,Tanjirou,1,1,," The next morning.
Tanjirou is leaving
for the mountain.",1,,,Hinatsuru,9
